fxuv,teq
0.647085469530019,400.0
1.7926997854439400,400.0
4.966534827408380,400.0
13.759397079278400,400.0
38.1193356262129,400.0
105.60664396932100,400.0
292.57496405036000,400.0
810.5561011287930,400.0
2245.582410681000,400.0
6221.210791131430,400.0
404.42841845626200,2000.0
1120.437365902460,2000.0
3104.0842671302400,2000.0
8599.623174549010,2000.0
23824.58476638300,2000.0
66004.15248082550,2000.0
182859.35253147500,2000.0
506597.5632054960,2000.0
1403489.006675620,2000.0
3888256.744457140,2000.0
0.2047418868434830,300.0
0.567221416488121,300.0
1.5714426602346800,300.0
4.353559232115440,300.0
12.061196037981400,300.0
33.41460219341780,300.0
92.57254721905910,300.0
256.4650163727820,300.0
710.5163096295340,300.0
1968.429976881430,300.0
25.27677615351640,1000.0
70.02733536890380,1000.0
194.0052666956400,1000.0
537.476448409313,1000.0
1489.0365478989400,1000.0
4125.2595300515800,1000.0
11428.70953321720,1000.0
31662.34770034350,1000.0
87718.06291722630,1000.0
243016.04652857100,1000.0
